月,食費,日用品,交通費,衣服費,趣味費,雑費,水道光熱費,教科書・参考書,本,合計
4,25660,0,8197,0,27720,12476,3297,0,3960,81310
5,16373,496,11236,0,5874,14780,3311,0,0,52070
6,33706,2078,9668,0,61720,7236,0,0,0,114408
7,22704,0,18850,0,38868,2232,0,0,3960,86614
8,22418,0,9948,0,27745,6113,0,0,13486,79710
9,31126,3976,8562,4650,51439,7569,3284,0,3300,113906
10,35424,1320,16690,0,52740,20759,0,0,4520,131453
11,24712,2593,2108,0,33985,6953,0,0,858,71209
12,31397,2120,10844,0,43164,2784,0,0,3663,93972
1,28806,1213,2525,0,22593,0,0,0,4653,59790
2,25481,0,7922,0,27030,8609,0,0,0,69042
3,36546,0,4894,0,17031,7278,0,0,0,65749
